rank,cluster,citations,access_lens,year,journal,title,abstract_snippet,doi
1,Unclear,177,1,2019,Current opinion in infectious diseases,"Scaling up HIV self-testing in sub-Saharan Africa: a review of technology, policy and evidence.","HIV self-testing (HIVST) can provide complementary coverage to existing HIV testing services and improve knowledge of status among HIV-infected individuals. This review summarizes the current technology, policy and evidence landscape in sub-Saharan Africa and priorities within a rapidly evolving field. HIVST is moving towards scaled implementation, with the release of WHO guidelines, WHO prequalification of the first HIVST product, price reductions of HIVST products and a growing product pipeline. Multicountry evidence from southern and eastern Africa confirms high feasibility, acceptability a",10.1097/QCO.0000000000000426
2,C3_HealthSystems_Financing,136,1,2021,Journal of pharmaceutical policy and practice,"Establishment of the African Medicines Agency: progress, challenges and regulatory readiness.","Insufficient access to quality, safe, efficacious and affordable medical products in Africa has posed a significant challenge to public health for decades. In part, this is attributed to weak or absent policies and regulatory systems, a lack of competent regulatory professionals in National Medicines Regulatory Authorities (NMRAs) and ineffective regional collaborations among NMRAs. In response to national regulatory challenges in Africa, a number of regional harmonisation efforts were introduced through the African Medicines Regulatory Harmonisation (AMRH) initiative to, among others, expedit",10.1186/s40545-020-00281-9
3,C3_HealthSystems_Financing,119,1,2024,The European journal of health economics : HEPAC : health economics in prevention and care,"Special FDA designations for drug development: orphan, fast track, accelerated approval, priority review, and breakthrou","Over the past decades, US Congress enabled the US Food and Drug Administration (FDA) to facilitate and expedite drug development for serious conditions filling unmet medical needs with five special designations and review pathways: orphan, fast track, accelerated approval, priority review, and breakthrough therapy. This study reviews the FDA's five special designations for drug development regarding their safety, efficacy/clinical benefit, clinical trials, innovation, economic incentives, development timelines, and price. We conducted a keyword search to identify studies analyzing the impact o",10.1007/s10198-023-01639-x
4,Unclear,112,1,2013,Human vaccines & immunotherapeutics,"Development of a group A meningococcal conjugate vaccine, MenAfriVac(TM).","Group A meningococcal disease has been an important public health problem in sub-Saharan Africa for over a century. Outbreaks occur there annually, and large epidemics occur at intervals ranging between 8 and 12 y. The Meningitis Vaccine Project was established in 2001 with funding from the Gates Foundation with the goal of developing, testing, licensing, and introducing an affordable group A meningococcal conjugate vaccine into Africa. From 2003 to 2009 a monovalent group A conjugate vaccine, MenAfriVac(TM) , was developed at the Serum Institute of India, Ltd through an innovative public/priv",10.4161/hv.19619
5,Unclear,95,1,2025,Infectious disease reports,"Advancing Phage Therapy: A Comprehensive Review of the Safety, Efficacy, and Future Prospects for the Targeted Treatment","Phage therapy, a treatment utilizing bacteriophages to combat bacterial infections, is gaining attention as a promising alternative to antibiotics, particularly for managing antibiotic-resistant bacteria. This study aims to provide a comprehensive review of phage therapy by examining its safety, efficacy, influencing factors, future prospects, and regulatory considerations. The study also seeks to identify strategies for optimizing its application and to propose a systematic framework for its clinical implementation. A comprehensive analysis of preclinical studies, clinical trials, and regulat",10.3390/idr16060092
6,C2_Vaccine_Quality,94,1,2022,Viruses,Rotaviruses: From Pathogenesis to Disease Control-A Critical Review.,"Since their first recognition in human cases about four decades ago, rotaviruses have remained the leading cause of acute severe dehydrating diarrhea among infants and young children worldwide. The WHO prequalification of oral rotavirus vaccines (ORV) a decade ago and its introduction in many countries have yielded a significant decline in the global burden of the disease, although not without challenges to achieving global effectiveness. Poised by the unending malady of rotavirus diarrhea and the attributable death cases in developing countries, we provide detailed insights into rotavirus bio",10.3390/v14050875
7,Unclear,93,1,2015,Journal of public health policy,A quiet revolution in global public health: The World Health Organization's Prequalification of Medicines Programme.,"Problems with the quality of medicines abound in countries where regulatory and legal oversight are weak, where medicines are unaffordable to most, and where the official supply often fails to reach patients. Quality is important to ensure effective treatment, to maintain patient and health-care worker confidence in treatment, and to prevent the development of resistance. In 2001, the WHO established the Prequalification of Medicines Programme in response to the need to select good-quality medicines for UN procurement. Member States of the WHO had requested its assistance in assessing the qual",10.1057/jphp.2013.53
8,C2_Vaccine_Quality,91,1,2021,Vaccine,Current and future cholera vaccines.,"Cholera remains a major global public health problem that is primarily linked to insufficient access to safe water and proper sanitation. Oral Cholera Vaccine (OCV) has been recommended as an additional public health tool along with WASH in cholera endemic countries and in areas at risk for outbreaks. The new generation OCV is safe and offers good protection in older children and adults while limited protection in younger children less than five years of age has been observed. The combination of direct vaccine protection and vaccine herd immunity effects makes OCV highly cost-effective and, th",10.1016/j.vaccine.2019.12.011
9,C1_Access_Equity_LMIC,88,1,2021,EClinicalMedicine,Global public health security and justice for vaccines and therapeutics in the COVID-19 pandemic.,"A Lancet Commission for COVID-19 task force is shaping recommendations to achieve vaccine and therapeutics access, justice, and equity. This includes ensuring <i>safety and effectiveness</i> harmonized through robust systems of global pharmacovigilance and surveillance. G<i>lobal production</i> requires expanding support for development, manufacture, testing, and distribution of vaccines and therapeutics to low- and middle-income countries (LMICs). Global intellectual property rules must not stand in the way of research, production, technology transfer, or equitable access to essential health ",10.1016/j.eclinm.2021.101053
10,C1_Access_Equity_LMIC,86,1,2020,Global health action,"An interdisciplinary review of digital technologies to facilitate anti-corruption, transparency and accountability in me","<b>Background</b>: Pharmaceutical corruption is a serious challenge in global health. Digital technologies that can detect and prevent fraud and corruption are particularly important to address barriers to access to medicines, such as medicines availability and affordability, stockouts, shortages, diversion, and infiltration of substandard and falsified medicines.<b>Objectives</b>: To better understand how digital technologies are used to combat corruption, increase transparency, and detect fraud in pharmaceutical procurement systems to improve population health outcomes.<b>Methods</b>: We con",10.1080/16549716.2019.1695241
11,Unclear,78,1,2017,American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting,Access to Cancer Therapeutics in Low- and Middle-Income Countries.,"Cancer is rapidly becoming a major health care problem, especially in developing countries, where 60% of the world's total new cases are diagnosed. The success of new antineoplastic medicines and modern radiation devices to cure a good proportion of patients with cancer and to alleviate the suffering of many more has been achieved at a dramatic cost. Therefore, it has become mandatory for health care authorities and pharmaceutical companies to cooperate to use and develop resources in an efficient manner to improve health care delivery to patients with cancer worldwide. Regulatory harmonizatio",10.1200/EDBK_155975
12,Unclear,75,1,2017,PloS one,Speeding Access to Vaccines and Medicines in Low- and Middle-Income Countries: A Case for Change and a Framework for Opt,"The United Nations Millennium Development Goals galvanized global efforts to alleviate suffering of the world's poorest people through unprecedented public-private partnerships. Donor aid agencies have demonstrably saved millions of lives that might otherwise have been lost to disease through increased access to quality-assured vaccines and medicines. Yet, the introduction of these health interventions in low- and middle-income countries (LMICs) continues to face a time lag due to factors which remain poorly understood. A recurring theme from our partnership engagements was that an optimized r",10.1371/journal.pone.0166515
