"AU","TI","SO","PY","AB","DE","ID"
"","WHO collaborative registration procedure using stringent regulatory authorities' medicine evaluation  reliance in action","",2022,"","","10.1080/17512433.2022.2037419"
"","WHO原料药预认证项目","",2014,"","",NA
"","WHO监管评估体系概况及对我国药品监管国际化的思考","",NA,"","",NA
"","WHO药品预认证项目为我国药品生产企业的国际化开辟道路","",2014,"","",NA
"","世界卫生组织化学药品资格预审分析与探讨","",2025,"","","10.16153/j.1002-7777.2024-12-0025"
"","基于世界卫生组织认证分析我国医药行业国际化的机遇与挑战","",2021,"","","10.16153/j.l"
"","复方青蒿素的国际化之路及其启示 (1)","",2025,"","","10.12014/j.issn.1002-0772.2025.11.13"
"","药品国际监管协调的发展现状研究与思考","",NA,"","",NA
"","解读世界卫生组织药品预认证项目","",2014,"","",NA
"","2012年医药外贸的变与不变-李辉","",2012,"","",NA
"","A new phase of China-ASEAN health cooperation the China-ASEAN Beijing Declaration on Cooperation in Innovation of Health Products and Technologies","",NA,"","",NA
"","Evolution and effectiveness of bilateral and multilateral development assistance for health","",NA,"","",NA
"","Evolving market-shaping strategies to boost access to essential medical products in developing countries with HIV self-testing as a case study","",NA,"","",NA
"","Factors associated with the export of traditional","",NA,"","",NA
"","Factors associated with the utilization of diagnostic tools among countries with different income levels during the COVID-19 pandemic","",NA,"","",NA
"","Industry Perceptions and Experiences with the Access Consortium New Active Substance Work-Sharing Initiative (NASWSI)  Survey Results and Recommendations","",NA,"","",NA
"","N10外刊全文 2026 1462-8902 28 2 81537052","",2026,"","",NA
"","N1 Enhancing innovative financing","",NA,"","",NA
"","N2 Evaluation WHO integration","",NA,"","",NA
"","N3 Access antimalarial AsiaPacific","",NA,"","",NA
"","N4jogh-16-04145n","",NA,"","",NA
"","N5 CHIKV modeling","",NA,"","",NA
"","N5s12889-026-28110-9 reference","",NA,"","",NA
"","N6中刊全文 2026 R1 93174A 058 003 7203755179","",2026,"","",NA
"","N7resource 2026 07 18 1784350246821","",2026,"","",NA
"","N8 Volume based procurement TB","",NA,"","",NA
"","N9 Influenza seasonality","",NA,"","",NA
"","Redefining Debt-to-Health, a triple-win health financing instrument in global health","",NA,"","",NA
"","Regulatory reliance for convergence and harmonisation in the medical device space in Asia-Pacific","",NA,"","",NA
"","Rethinking international financing for health to better respond to future pandemics","",NA,"","",NA
"","Seasonal malaria chemoprevention in Africa and China’s upgraded role as a contributor","",NA,"","",NA
"","The global regulatory landscape for combined vaccines","",NA,"","",NA
"","The priority areas and possible pathways for health cooperation in BRICS countries","",NA,"","",NA
"","efpia-positionpaper-on-who-asean-joint-assessment","",NA,"","",NA
"","中国抗疟产品的可持续发展路径-黄旸木","",NA,"","",NA
"","中国生物医药企业对外授权交易 许铭2026","",2026,"","",NA
"","中国生物医药企业对外授权交易的演变趋势与相关因素分析 NormalPdf(2)","",NA,"","",NA
"","中药开拓欧洲市场机遇与困难同在-许铭","",NA,"","",NA
"","以艾滋病毒自我检测为例，不断发展市场塑造战略，以促进发展中国家获得基本医疗产品的机会","",NA,"","",NA
"","协和硕士-世界卫生组织在华合作中心参与全球卫生治理评价指标体系研究-杜海平","",NA,"","",NA
"","协和硕士-中美在妇幼健康领域对东盟国家合作比较研究-谭翔彬","",NA,"","",NA
"","国际化发展视角下中印传统医学对比研究-陈莹","",NA,"","",NA
"","基于全球治理五要素理论的WHO公共卫生产品治理机制分析-杨坚","",NA,"","",NA
"","基于全生命周期维度的全球卫生公共产品可及性研究-冯香凝","",NA,"","",NA
"","对非医疗合作与援助 挑战及建议-许铭","",NA,"","",NA
"","市场塑造策略在全球公共卫生产品供应治理中的应用及其对中国的启示-杨坚","",NA,"","",NA
"","我国医药企业国际化路径分析-许铭","",NA,"","",NA
"","抗击艾滋病、结核病和疟疾全球基金在全球卫生发展中的作用及与中国的合作-许铭","",NA,"","",NA
"","新格局下全球卫生治理及对中国的路径建议-周书铎","",NA,"","",NA
"","非洲季节性疟疾化学预防和中国作为贡献者角色的升级：范围界定审查","",NA,"","",NA
