id,source,title,year,journal,doi,pmid,abstract,include
1,pubmed,"[Emergency authorization of vaccines in countries of the Americas, August 2024Autorização de vacinas em situações de emergência nos países da Região das Américas, agosto de 2024].",2025,Revista panamericana de salud publica = Pan American journal of public health,10.26633/RPSP.2025.129,41473890,To evaluate the post-pandemic regulatory preparedness of countries of the Region of the Americas for emergency authorization of vaccines as of August 2024 and propose recommendations for future public health emergencies. Special report describing the mechanisms for emergency use authorization of vaccines established in the regulatory frameworks of Latin American and English-speaking Caribbean countries. Most of the countries (64%) included in this analysis did not make any changes in their regulations for emergency situations following the COVID-19 pandemic. Special import permits constitute t,
2,pubmed,Do we need prequalification of AI as a medical device to drive equitable adoption.,2025,NPJ digital medicine,10.1038/s41746-025-02151-7,41407822,"Artificial intelligence offers transformative potential for global health, yet regulatory disparities threaten equitable adoption. This brief examines whether the World Health Organization's Prequalification (PQ) framework should extend to AI. We highlight limitations of applying static product paradigms to dynamic systems, outline targeted reforms, and propose a reimagined PQ4AI that balances global technical assurance with local regulatory accountability to foster safe, effective, and equitable deployments.",
3,pubmed,Approval delays in multi-country COVID-19 trials: the case of COPCOV and the risk of therapeutic inertia.,2026,Trials,10.1186/s13063-025-09300-z,41402852,"Many multi-country COVID-19 clinical trials, including those for widely available repurposed drugs with strong safety profiles, were conceptualised quickly but were unable to influence clinical treatment guidelines. The Chloroquine/Hydroxychloroquine for the Prevention of COVID-19 (COPCOV) trial, a large multi-country clinical trial sponsored by the University of Oxford, sought to determine the efficacy of hydroxychloroquine and chloroquine as a prophylaxis for COVID-19 but faced approval delays and other bureaucratic challenges. Understanding the reasons for these delays will help to guide re",
4,pubmed,The Early Experiences of Health Technology Assessment Bodies in the Implementation of the European Union Health Technology Assessment Regulation for High-Risk Medical Devices: A Qualitative Study.,2026,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,10.1016/j.jval.2025.11.013,41360323,"The EU Health Technology Assessment Regulation (HTAR) introduces joint clinical assessments (JCAs) to harmonize clinical evidence evaluation across Member States. JCAs are commencing in 2026 for high-risk medical devices (MD) and in vitro diagnostics (IVD), but little is known about how national health technology assessment (HTA) bodies are preparing for implementation. This study aims to explore how selected European Union (EU)/European Economic Area HTA bodies are planning for JCAs integration and HTAR implementation for high-risk MD/IVD. Semistructured interviews were conducted with 15 part",
5,pubmed,Barriers to and enablers of Pakistani pharmaceutical export to regulated markets: regulatory perspective.,2025,Journal of pharmaceutical policy and practice,10.1080/20523211.2025.2564828,41333239,"The pharmaceutical sector in Pakistan has grown over a period; however, there are certain barriers within the framework that regulate the growth and export of pharmaceuticals in the country. The purpose of this study was to highlight the current challenges for the pharmaceuticals' export from Pakistan, especially to countries with stringent regulatory authorities (SRAs), from a regulatory perspective, and to identify the facilitators that may help resolve these challenges. In this qualitative study, data were collected from the participants from the regional offices of Drug Regulatory Authorit",
6,pubmed,Assessment of compliance with good review practices by medicine assessors within the Zambia medicines regulatory authority.,2025,Frontiers in medicine,10.3389/fmed.2025.1706139,41306499,"The implementation of Good Review Practices (GRevPs) ensures the timely, high-quality review and enhanced availability to safe, quality, and efficacious medicines. It is important, therefore, that all aspects of GRevPs are continuously updated and monitored to promote improvement of the review process. This study aimed to assess the implementation of the GRevPs in the Zambia Medicines Regulatory Authority (ZAMRA) to identify opportunities for improvement. The GRevP Questionnaire developed by the Centre for Innovation in Regulatory Science (CIRS), an established, structured and multi-dimensiona",
7,pubmed,"Advances in Point-of-Care Infectious Disease Diagnostics: Integration of Technologies, Validation, Artificial Intelligence, and Regulatory Oversight.",2025,"Diagnostics (Basel, Switzerland)",10.3390/diagnostics15222845,41300871,"Point-of-care (POC) infectious disease diagnostics are reshaping global health by delivering rapid, decentralized, and clinically actionable results that link bedside testing to population-level surveillance. Valued at approximately USD 53 billion in 2024 and projected to nearly double by 2033, the global POC diagnostics market is driven by infectious disease assays and accelerated by innovations in molecular amplification, biosensors, microfluidics, and artificial intelligence (AI). This review integrates current evidence across technological, clinical, regulatory, and public health domains. ",
8,pubmed,"Safety and non-inferiority of multidose and single-dose vial formulations of EuTCV Vi-CRM197 versus Typbar TCV in healthy participants in Kenya and Senegal: a multicentre, observer-blind, randomised, phase 3 study.",2025,The Lancet. Global health,10.1016/S2214-109X(25)00330-4,41240950,"Typhoid is an important global public health problem, despite efforts to enhance access to clean water and sanitation facilities, appropriate diagnostics, treatments, and vaccines. We aimed to assess the safety and non-inferiority of single-dose and multidose EuTCV Vi-CRM197 typhoid conjugate vaccine (TCV) formulations compared with Typbar TCV. This multicentre, observer-blinded, randomised, phase 3, non-inferiority study conducted at one medical research institute in Kenya and one in Senegal enrolled healthy participants aged 6 months to 45 years, without previous typhoid or typhoid vaccinati",
9,pubmed,Advancing vaccines justice through international regulatory pathways.,2025,Global public health,10.1080/17441692.2025.2566730,41230656,"Vaccines are essential for preventing infectious diseases and promoting population health; however, equitable global access to vaccines remains elusive. Regulatory approval of vaccines is a critical step on the path towards global vaccines justice, yet the resources required can impede timely decision making. Regulatory reliance, where authorities use other agencies' assessments of new vaccines to make local decisions about their benefit-risk profile, can expedite regulatory decision making. In this Commentary, we apply a critical lens inspired by 'Third World Approaches to International Law' ",
10,pubmed,Statement of Concern regarding Corruption in Medical Education.,2025,Indian journal of medical ethics,10.20529/IJME.2025.076,41195919,"We at Equitable Healthcare Access Consortium (EHAC), a consortium of healthcare organisations and individual practitioners committed to ethical and equitable healthcare in India, wish to express deep concern over the recent First Information Report (FIR) filed by the Central Bureau of Investigation (CBI) [1] and subsequent report that appeared in The Lancet [2]. The FIR implicates officials from the Ministry of Health and Family Welfare, external assessors of the National Medical Commission (NMC), doctors affiliated with private medical colleges, and various intermediaries and administrators.",
